Gene	Symbol	C1-1 NTR	C1-2 NTR	C2-1 NTR	C2-2 NTR	C3-1 NTR	C3-2 NTR	C4-1 NTR	C4-2 NTR	O1-1 NTR	O1-2 NTR	O2-1 NTR	O2-2 NTR	O3-1 NTR	O3-2 NTR	O4-1 NTR	O4-2 NTR	O5-1 NTR	O5-2 NTR	O6-1 NTR	O6-2 NTR
ENSG00000114646	CSPG5	0.1266	0	0.1628	0.2614	0.2724	0.0564	0.2826	0.1855	0	0.4226	0.1091	0.1687	0.3704	0.3257	0.1546	0.1069	0.024	0.198	0.0897	0.0749
ENSG00000173473	SMARCC1	0.0208	0.0219	0.019	0.0253	0.0167	0.0262	0.0253	0.0265	0.1236	0.1128	0.1071	0.1079	0.1097	0.0891	0.0646	0.0577	0.06	0.0821	0.0261	0.0419
ENSG00000047849	MAP4	0.0272	0.0306	0.031	0.0441	0.0296	0.0359	0.0363	0.0417	0.1701	0.1689	0.1591	0.1594	0.1621	0.1235	0.1162	0.0949	0.1424	0.1393	0.0551	0.0254
ENSG00000164045	CDC25A	0.5402	0.5985	0.5955	0.6707	0.4787	0.5205	0.5575	0.5396	0.9434	0.9119	0.9341	0.9255	0.7248	0.6901	0.7989	0.6281	0.6823	0.8417	0.1461	0.1626
ENSG00000175920	DOK7	NaN	NaN	0.5093	0	0	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	0
ENSG00000184160	ADRA2C	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.5981	0	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000168826	ZBTB49	0.602	0.2198	0.6989	0.7637	0.8033	0.9786	1	0.937	0.9382	0.8289	0.8938	0.9688	0.7656	1	1	1	1	0.865	0.6095	0.6682
ENSG00000168824	NSG1	NaN	NaN	NaN	0	1	0	NaN	NaN	0	0	NaN	NaN	0	NaN	NaN	NaN	NaN	0	0	0
ENSG00000163132	MSX1	0	1	NaN	NaN	NaN	1	1	0	0.5185	0.3764	0.6674	0.313	0.7495	0.2922	0.3824	0.4417	0.7254	0.6316	0.3672	0.3686
ENSG00000132323	ILKAP	0.0501	0.0699	0.1048	0.1134	0.0616	0.0375	0.0815	0.0697	0.3806	0.4453	0.3757	0.3496	0.3228	0.2674	0.2228	0.1187	0.1677	0.227	0.0404	0.0333
ENSG00000144485	HES6	0.1403	0.1341	0.1452	0.1356	0.1062	0.1063	0.1075	0.1276	0.3913	0.3837	0.4388	0.3994	0.4037	0.3473	0.2543	0.2124	0.2464	0.3114	0.1496	0.1308
ENSG00000132326	PER2	0.6438	0.5731	0.7102	0.4985	0.4697	0.5869	0.6875	0.6798	0.8602	0.9118	0.8856	0.8923	0.803	0.7009	0.8984	0.744	0.8179	0.844	0.3296	0.3188
ENSG00000171497	PPID	0.0288	0.0405	0.0094	0.0409	0.0197	0.0053	0.0226	0.0224	0.2236	0.2908	0.2442	0.1644	0.1897	0.2041	0.0903	0.0465	0.0389	0.0903	0.0381	0.0225
ENSG00000164123	C4orf45	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0.4253	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000132357	CARD6	0.5072	0.3688	0.4375	0.1665	0.1843	0.3365	0.5176	0.3072	0.6928	0.6304	0.7188	0.6345	0.6746	0.6573	0.498	0.4975	0.551	0.598	0.3616	0.3628
ENSG00000205765	RIMOC1	0.2367	0.281	0.2366	0.3156	0.1999	0.1598	0.2329	0.336	0.8286	0.8132	0.7682	0.8922	0.7394	0.6011	0.6693	0.5966	0.5385	0.649	0.0229	0.0761
ENSG00000151876	FBXO4	0.0859	0.0218	0.0744	0.0101	0.0385	0.0535	0.0378	0.0469	0.2516	0.2197	0.2141	0.2309	0.2885	0.1997	0.0996	0.0714	0.067	0.0447	0	0.0193
ENSG00000112964	GHR	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000151012	SLC7A11	0.4078	0.4715	0.3575	0.3568	0.3701	0.2504	0.3674	0.2382	0.8132	0.7971	0.8027	0.8218	0.5045	0.3769	0.6405	0.6765	0.5809	0.6541	0.1372	0.1613
ENSG00000109381	ELF2	0.4428	0.4007	0.4102	0.4129	0.4096	0.4119	0.5261	0.533	0.877	0.8586	0.7783	0.8485	0.8023	0.7383	0.6698	0.6891	0.69	0.6809	0.2595	0.2879
ENSG00000137463	MGARP	0.5994	1	1	1	0.4287	1	0.5469	0.2003	1	1	0.9738	NaN	0.5694	0.5116	1	0	0.5	1	0.8019	0.4773
ENSG00000109390	NDUFC1	0.0568	0.0718	0.0538	0.0738	0.0304	0.0449	0.0367	0.0344	0.1802	0.1632	0.1735	0.2074	0.1686	0.1473	0.0626	0.0534	0.0444	0.0615	0.0371	0.0226
ENSG00000145391	SETD7	0.0269	0.1087	0.3874	0.0897	0.2528	0.1524	0.1506	0.2815	0.5962	0.7995	0.5859	0.8076	0.7367	0.6383	0.4472	0.4258	0.5199	0.6963	0.1391	0.1374
ENSG00000285330		0.0187	0	0.0303	0.01	0.0562	0.0071	0.0173	0.053	0.3021	0.3493	0.1412	0.2379	0.2775	0.1177	0.0292	0.0725	0.0728	0.0728	0.0404	0.0253
ENSG00000170522	ELOVL6	0.1603	0.1712	0.1357	0.1486	0.1049	0.1059	0.1333	0.1139	0.5008	0.4701	0.4796	0.5023	0.4672	0.3824	0.3589	0.2873	0.2796	0.3704	0.078	0.054
ENSG00000164093	PITX2	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000145365	TIFA	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.8148	0.6767	0.7997	1	0.8954	0.5905	NaN	NaN	NaN	1	0	0.9606
ENSG00000150630	VEGFC	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.294	0.3236	0.1125	0	0.2309	0.1731	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000038002	AGA	0.0159	0	0.0117	0.0124	0.0108	0.0196	0	0.0193	0.0634	0.1135	0.1205	0.0907	0.0679	0.0375	0.0881	0.0678	0.0437	0.058	0.0335	0.0103
ENSG00000129187	DCTD	0.0533	0.0294	0.0628	0.0289	0.0377	0.0494	0.062	0.0471	0.2617	0.2544	0.2918	0.3124	0.289	0.1843	0.1363	0.0756	0.1044	0.137	0.0235	0.0562
ENSG00000177300	CLDN22	0	0.057	0	0	0	0	0	0	0	0	0	0.026	0	0	0	0.0443	0	0	0	0
ENSG00000138796	HADH	0.0109	0.0102	0.0105	0.0133	0.0063	0.0067	0.006	0.0156	0.1474	0.1343	0.1265	0.12	0.1221	0.1097	0.0614	0.0327	0.0167	0.0438	0.0248	0.0341
ENSG00000109475	RPL34	0.0051	0.0037	0.0043	0.0033	0.0113	0.0112	0.0126	0.0128	0.0599	0.0616	0.0471	0.0405	0.0565	0.0419	0.0202	0.0125	0.0113	0.0215	0.0117	0.0156
ENSG00000198856	OSTC	0.0194	0.0245	0.0224	0.0222	0.0169	0.0009	0.0147	0.0166	0.1024	0.101	0.1158	0.0775	0.1064	0.0592	0.0439	0.0218	0.0565	0.0353	0.0472	0.0425
ENSG00000138802	SEC24B	0.1796	0.1746	0.3835	0.1785	0.2539	0.1928	0.3093	0.2707	0.8916	0.8377	0.8278	0.8551	0.6309	0.5232	0.6131	0.6418	0.4109	0.5377	0.0511	0.0643
ENSG00000005059	MCUB	0.0444	0	0.0068	0.0263	0.0091	0.0025	0.0122	0.0231	0.1508	0.1263	0.0651	0.0959	0.1149	0.0745	0.0792	0.0505	0.025	0.0538	0.036	0.0154
ENSG00000186105	LRRC70	0.25	0.3961	0.1799	0.2652	0	0.1106	0.2553	0.4695	0.602	0.7181	0.9225	0.9391	0.8455	0.6244	0.7225	0.9431	0.5582	0.6811	0.3109	0.1103
ENSG00000164197	RNF180	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN
ENSG00000145642	SHISAL2B	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000153015	CWC27	0.0504	0.0398	0.0423	0.0408	0.0537	0.0474	0.0571	0.0376	0.2777	0.2969	0.278	0.2533	0.2921	0.217	0.086	0.0889	0.1058	0.1292	0.0471	0.0201
ENSG00000145545	SRD5A1	0.0243	0.0392	0.0445	0.0404	0.0387	0.0138	0.0458	0.0302	0.2504	0.2041	0.0885	0.1717	0.2229	0.1065	0.0197	0.0595	0.1099	0.1361	0.1129	0.0361
ENSG00000112941	TENT4A	0.3615	0.3813	0.4044	0.5059	0.601	0.4712	0.47	0.5185	0.8574	0.9004	0.893	0.8836	0.7998	0.6865	0.8097	0.7155	0.6333	0.7803	0.2798	0.2845
ENSG00000078295	ADCY2	NaN	NaN	NaN	NaN	1	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000124275	MTRR	0.093	0.2255	0.1117	0.0676	0.1012	0.0729	0.1429	0.0878	0.4427	0.4734	0.4141	0.4902	0.4473	0.4037	0.443	0.2728	0.3156	0.2632	0.1506	0.1548
ENSG00000146376	ARHGAP18	0.1074	0.0469	0.1363	0.0787	0.17	0.1371	0.0443	0.1244	0.386	0.3658	0.3998	0.4688	0.4155	0.2561	0.3063	0.3903	0.1704	0.2714	0.0405	0.0933
ENSG00000164483	SAMD3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0	0
ENSG00000204616	TRIM31	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	NaN
ENSG00000204613	TRIM10	0.309	0.317	0.3025	0.3562	0.3	0.281	0.3506	0.3356	0.7411	0.6993	0.7634	0.7496	0.5345	0.4723	0.4036	0.3568	0.3882	0.4903	0.0361	0.0244
ENSG00000234127	TRIM26	0.2241	0.5155	0.3565	0.744	0.5424	0.4038	0.6445	0.5887	0.8685	0.8877	0.8487	0.9125	0.8268	0.82	0.7497	0.7027	0.7235	0.7202	0.4676	0.4742
ENSG00000204590	GNL1	0.0871	0.0576	0.0863	0.1023	0.0726	0.0871	0.1042	0.109	0.2417	0.3175	0.2435	0.2972	0.2715	0.314	0.1675	0.1084	0.1743	0.2376	0.0938	0.1065
ENSG00000204569	PPP1R10	0.5199	0.5099	0.5186	0.5501	0.5891	0.7045	0.6569	0.6649	0.9293	0.9678	0.9479	0.9136	0.8886	0.8603	0.7724	0.8153	0.7758	0.8074	0.4121	0.2274
ENSG00000204410	MSH5	0.019	0.0407	0.0602	0.0358	0.0301	0.0216	0.047	0.037	0.3106	0.2305	0.2583	0.3118	0.3168	0.2789	0.1832	0.1859	0.1581	0.16	0.0119	0.0436
ENSG00000255152	MSH5-SAPCD1	0.05	0.0392	0.045	0.0508	0.032	0.0301	0.0553	0.0422	0.3949	0.2601	0.262	0.2421	0.3331	0.2961	0.2008	0.1919	0.1767	0.1932	0.0312	0.0955
ENSG00000228727	SAPCD1	0.0861	0.0434	0.0282	0.0615	0.0641	0.0831	0.0935	0.0338	0.7274	0.4527	0.3577	0.4117	0.4819	0.5008	0.3801	0.4242	0.2388	0.3059	0.1461	0.3232
ENSG00000204389	HSPA1A	0.1763	0.2694	0.1689	0.3297	0.2926	0.2167	0.2373	0.2791	0.7087	0.6953	0.7412	0.743	0.6468	0.6261	0.3015	0.1435	0.2507	0.4349	0.3346	0.3481
ENSG00000204388	HSPA1B	0.481	0.4626	0.5914	0.5191	0.5621	0.5629	0.6184	0.6993	0.9209	0.9214	0.9523	0.9926	0.7427	0.7618	0.7645	0.6727	0.7987	0.798	0.3266	0.3548
ENSG00000137193	PIM1	0.8708	0.8798	0.8857	0.8907	0.9095	0.9168	0.8932	0.9117	0.966	0.9293	0.9489	0.9465	0.868	0.8235	0.8763	0.8921	0.8854	0.8988	0.2669	0.3075
ENSG00000065491	TBC1D22B	0.1409	0.1668	0.2837	0.2739	0.2767	0.2824	0.2498	0.246	0.7403	0.7199	0.7864	0.8189	0.5096	0.5858	0.4717	0.3692	0.4645	0.4758	0.114	0.0805
ENSG00000112130	RNF8	0.1413	0.2463	0.2053	0.379	0.1537	0.12	0.15	0.2459	0.8152	0.7178	0.7026	0.6626	0.7066	0.5356	0.4786	0.3811	0.4058	0.459	0.1198	0.1029
ENSG00000137200	CMTR1	0.0328	0.0433	0.0461	0.037	0.0535	0.0234	0.0409	0.0507	0.2158	0.1554	0.2056	0.1874	0.1972	0.1313	0.1266	0.095	0.0768	0.1194	0.0573	0.0355
ENSG00000156639	ZFAND3	0.1809	0.1552	0.1207	0.2117	0.1558	0.1761	0.2533	0.2117	0.5513	0.6122	0.6067	0.5614	0.4001	0.3777	0.297	0.2491	0.2948	0.3533	0.077	0.0756
ENSG00000256980	KHDC1L	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	NaN
ENSG00000135314	KHDC1	1	0	0	0	0.1676	0.119	0.0428	0	0.5811	0.6327	0.9035	0.826	0.6314	0.3139	0.4131	1	0.6806	0.4676	0	0
ENSG00000203909	DPPA5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN
ENSG00000203907	OOEP	0.117	0.0553	0.0362	0	0.0258	0.219	0.1671	0.1798	NaN	1	0	NaN	NaN	0	0.0936	0.019	0.0645	0.1871	0.0272	0.1292
ENSG00000164430	CGAS	0.2733	0.2797	0.3701	0.4917	0.4929	0.5142	0.5703	0.5366	0.8946	0.9126	0.8747	0.7901	0.7921	0.7915	0.7574	0.7765	0.622	0.6464	0.1891	0.1517
ENSG00000057663	ATG5	0.1107	0.2058	0.2044	0.1582	0.1242	0.1084	0.0949	0.1691	0.5534	0.5247	0.5257	0.5823	0.5383	0.5759	0.3527	0.3459	0.2855	0.3594	0.1167	0.133
ENSG00000130347	RTN4IP1	0.0073	0.0594	0.0276	0.0899	0.0396	0	0.0059	0.0615	0.2804	0.2662	0.3301	0.1862	0.2325	0.0978	0.0081	0.0321	0.0207	0.0548	0	0.0377
ENSG00000272398	CD24	NaN	NaN	NaN	NaN	0.6261	0	0	1	0.1866	0.3724	0.3225	1	0.2552	0.7533	0	NaN	NaN	NaN	NaN	NaN
ENSG00000178409	BEND3	0.3312	0.3871	0.5322	0.3874	0.483	0.4184	0.332	0.4503	0.9213	0.9149	0.8264	0.8385	0.7887	0.841	0.5891	0.6631	0.4944	0.6349	0.2901	0.094
ENSG00000164494	PDSS2	0.0485	0.1135	0.035	0.0691	0.0569	0.0382	0.0658	0.0527	0.3756	0.2619	0.1259	0.2081	0.2752	0.1971	0.1913	0.1359	0.1181	0.1245	0.0095	0.0471
ENSG00000079819	EPB41L2	NaN	NaN	NaN	0	0.3333	0	NaN	NaN	0.1086	0.1146	0.1076	0.1	0.1254	0.1016	NaN	NaN	NaN	NaN	0	0.0953
ENSG00000112282	MED23	0.1461	0.1195	0.172	0.1261	0.1646	0.1412	0.1429	0.1615	0.5492	0.6184	0.6497	0.567	0.522	0.4754	0.3979	0.3402	0.2438	0.3721	0.097	0.1189
ENSG00000180658	OR2A4	NaN	NaN	NaN	0	0	0	NaN	0	NaN	0	NaN	NaN	NaN	NaN	0	0	0	0	NaN	0
ENSG00000236761	CTAGE9	NaN	NaN	NaN	NaN	0	0	NaN	0	NaN	NaN	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0
ENSG00000118523	CCN2	NaN	NaN	NaN	NaN	NaN	0	0	NaN	NaN	0	0	NaN	0.5986	0.6311	0	NaN	NaN	NaN	NaN	NaN
ENSG00000164414	SLC35A1	0.0353	0.0816	0.0326	0.0721	0.0133	0.0373	0.0592	0.1137	0.5682	0.5675	0.4255	0.4614	0.4086	0.259	0.1712	0.2487	0.1981	0.293	0.02	0.052
ENSG00000166278	C2	0	0	0	0	NaN	0	0	0.3299	0.3355	0.3437	NaN	0.6117	0.2958	0	0	NaN	1	0	0.1241	0
ENSG00000244255		0	NaN	0	0	NaN	NaN	NaN	NaN	0.4099	0	NaN	0	0	NaN	0	0	0	0.27	0.0776	0
ENSG00000243649	CFB	0	NaN	0	NaN	0	0	0	NaN	0.4595	NaN	NaN	0	0	0.2807	NaN	0	0.1639	0.1474	0.236	0.2928
ENSG00000204351	SKIC2	0.0655	0.0469	0.0729	0.0552	0.0402	0.0422	0.0541	0.0604	0.241	0.216	0.2164	0.2303	0.2371	0.1617	0.1203	0.0974	0.1003	0.1605	0.0896	0.0756
ENSG00000204344	STK19	0.2066	0.1316	0.2228	0.3089	0.0678	0.2639	0.1285	0.229	0.5566	0.4732	0.5243	0.6009	0.4943	0.5145	0.3249	0.2782	0.3389	0.3458	0.1912	0.1054
ENSG00000161010	MRNIP	0.0173	0.0108	0.0315	0.0113	0.0173	0.0189	0.0321	0.0435	0.1138	0.098	0.0733	0.0847	0.0911	0.0983	0.0262	0.0218	0.0159	0.0193	0.008	0.0088
ENSG00000197226	TBC1D9B	0.0815	0.1113	0.1114	0.141	0.1058	0.0958	0.0684	0.1091	0.3505	0.3942	0.3189	0.3287	0.4016	0.2902	0.1787	0.1361	0.1942	0.2266	0.1271	0.0428
ENSG00000113269	RNF130	0.0271	0.0028	0.0064	0.0093	0.0325	0.0111	0.0166	0.0131	0.1412	0.1027	0.0944	0.1068	0.1171	0.0891	0.0243	0.024	0.0468	0.0412	0.0321	0.0172
ENSG00000146090	RASGEF1C	NaN	0.3455	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000050748	MAPK9	0.031	0.0268	0.0322	0.0457	0.0193	0.0323	0.0156	0.0603	0.257	0.3074	0.2631	0.2839	0.23	0.197	0.1047	0.0654	0.0502	0.0743	0.0261	0.0261
ENSG00000290147		NaN	NaN	NaN	NaN	0	NaN	NaN	0.3297	0	NaN	NaN	NaN	0	NaN	0	NaN	NaN	0	0	NaN
ENSG00000048545	GUCA1A	NaN	NaN	NaN	NaN	0	0	NaN	0.1219	0	0	0	NaN	0	0.1161	0	NaN	NaN	0	0	NaN
ENSG00000024048	UBR2	0.1713	0.1531	0.1408	0.1503	0.1432	0.102	0.148	0.1137	0.6011	0.6785	0.686	0.6274	0.5754	0.4461	0.3618	0.3513	0.3037	0.385	0.1293	0.0984
ENSG00000112624	BICRAL	0.3439	0.3719	0.4087	0.3433	0.3517	0.3222	0.4605	0.4701	0.9066	0.8864	0.8998	0.8966	0.8292	0.6692	0.739	0.7099	0.7744	0.7001	0.2193	0.2146
ENSG00000146242	TPBG	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.8936	0	0.4528	0	0.6989	0.3563	0	NaN	NaN	NaN	NaN	NaN
ENSG00000083097	DOP1A	0.2812	0.2631	0.2105	0.2596	0.2409	0.2821	0.2067	0.214	0.7058	0.7523	0.6333	0.6011	0.5661	0.5873	0.6365	0.3846	0.4426	0.4001	0.0736	0.1199
ENSG00000013392	RWDD2A	0.2856	0	0.4664	1	0.5446	0	0.8016	0.3837	0.5023	1	0.9512	0.5975	0.6705	0.4403	0.3633	0.3992	1	0.8306	0.3816	0.2972
ENSG00000178233	TMEM151B	NaN	NaN	NaN	0	NaN	0	NaN	0	NaN	0	0	0	0	NaN	0	NaN	0	0	0	0
ENSG00000272442		NaN	0	NaN	0.1834	NaN	0	NaN	0	NaN	NaN	0	0	0	NaN	0	0	0	0	NaN	1
ENSG00000249481	SPATS1	NaN	0	NaN	0.1942	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	NaN	NaN
ENSG00000096401	CDC5L	0.207	0.1903	0.2067	0.1878	0.1537	0.1467	0.2204	0.1754	0.7078	0.6913	0.6967	0.708	0.6138	0.5633	0.4154	0.3924	0.3224	0.4328	0.0917	0.0823
ENSG00000124813	RUNX2	0.3219	0.7767	0.7263	0.6133	0.1162	0.7507	0.7455	0.5042	0.9102	0.7635	0.7703	0.7559	0.7285	0.4989	1	0.5516	0.2761	1	0	0
ENSG00000198087	CD2AP	0.1221	0.1715	0.1616	0.1401	0.0936	0.1234	0.1266	0.1397	0.5592	0.5915	0.5802	0.5794	0.3999	0.3329	0.1999	0.1834	0.2099	0.2612	0.0706	0.051
ENSG00000153294	ADGRF4	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000031691	CENPQ	0.4264	0.8176	0.7627	0.6322	0.5794	0.7646	0.566	0.7714	0.9594	0.9829	0.9415	0.869	0.7687	0.8761	0.8497	0.7253	0.7926	0.8322	0.172	0.2403
ENSG00000133706	LARS1	0.0209	0.0168	0.0166	0.0187	0.0186	0.0131	0.0226	0.0252	0.158	0.176	0.1595	0.1793	0.1492	0.1074	0.0776	0.0656	0.0573	0.0752	0.0209	0.0197
ENSG00000173250	GPR151	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000156475	PPP2R2B	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000113657	DPYSL3	NaN	NaN	NaN	NaN	NaN	0	0	0	0	1	0	NaN	0	0	0	NaN	0.2321	NaN	NaN	0
ENSG00000176049	JAKMIP2	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.5893	0.6843	1	0.5353	0.7138	0.6744	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000169228	RAB24	0.079	0.1306	0.0687	0.0782	0.0906	0.111	0.1235	0.1857	0.4092	0.2613	0.4213	0.36	0.3788	0.3095	0.1867	0.1304	0.1894	0.1692	0.1123	0.0921
ENSG00000204228	HSD17B8	0	0.0048	0.0204	0.0013	0.0137	0.008	0.0043	0	0.0508	0.0504	0.0403	0.0644	0.0353	0.0443	0.0199	0.022	0.0151	0.0335	0.0065	0.0135
ENSG00000291302		0	0.1662	0.1166	0.1121	0.1676	0.2167	0.1492	0.1198	0.6346	0.631	0.787	0.3284	0.4139	0.3209	0.2204	0.2581	0.2991	0.2896	0	0.0792
ENSG00000289282		0.1869	0.1898	0.1187	0.14	0.1612	0.1597	0.1858	0.2131	0.5853	0.4326	0.587	0.528	0.476	0.4076	0.3053	0.3077	0.2905	0.4539	0.1304	0.17
ENSG00000204444	APOM	0.0455	0.0262	0.04	0.0073	0	0.009	0.023	0.056	0.1424	0.0398	0.0489	0.0479	0.043	0.0589	0.0317	0.0054	0	0.0411	0.0166	0.0051
ENSG00000204435	CSNK2B	0.0248	0.0417	0.0338	0.0324	0.0346	0.0382	0.0413	0.0434	0.1952	0.145	0.1646	0.1716	0.1523	0.1418	0.0894	0.0751	0.0837	0.1016	0.0488	0.0287
ENSG00000263020		0.0456	0.0654	0.0532	0.0761	0.0451	0.0554	0.0746	0.0757	0.3153	0.2452	0.2754	0.2951	0.2897	0.2439	0.1512	0.1039	0.1256	0.1767	0.0737	0.0783
ENSG00000112796	ENPP5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN	0.1157	0	NaN	NaN	NaN	NaN	NaN
ENSG00000172348	RCAN2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000146070	PLA2G7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000124490	CRISP2	0	0	0	NaN	0	0	0	0	0.4595	0	0.5906	0	0	0	0.0664	0	0	0	0.0254	0.0263
ENSG00000096006	CRISP3	0.0074	0	0	0	0	0.2465	0	0	0	0	0	0	0	0	0	0	0	0.0897	0.0433	0.0282
ENSG00000124812	CRISP1	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.1302
ENSG00000204267	TAP2	0.0097	0.0733	0.0587	0.0345	0.0341	0.0484	0.051	0.0361	0.1948	0.2031	0.2816	0.2731	0.2738	0.1853	0.1645	0.091	0.1233	0.1397	0.0885	0.0896
ENSG00000204264	PSMB8	0	0	0.1616	0	0	0.068	0	0.2314	0.2468	0.2973	0.2641	0.2724	0.3534	0.2807	0.038	0	0.1693	0.3922	0.0968	0.2436
ENSG00000168394	TAP1	0.1302	0.0358	0.1154	0.0496	0.0905	0.1269	0.0194	0.035	0.3913	0.5167	0.5156	0.4222	0.502	0.4874	0.228	0.1612	0.3134	0.3563	0.2524	0.2697
ENSG00000242574	HLA-DMB	0	NaN	NaN	NaN	NaN	0	NaN	NaN	0.4212	0.911	0	1	0.819	1	NaN	NaN	NaN	NaN	0	0
ENSG00000248993		0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	1	NaN	NaN	NaN	NaN	NaN	NaN	0	0
ENSG00000213654	GPSM3	0	0.2191	0.1137	0.2636	0.0387	0.0983	0.1967	0.0939	0.18	0.2031	0.1934	0.2122	0.2259	0.1835	0.1071	0	0.0652	0.1449	0	0.0567
ENSG00000204301	NOTCH4	0.8671	0.8797	1	0.8056	0.6082	0.3087	0.671	0.3729	0.6738	0.5345	1	0.5153	0.691	0.5749	1	1	1	0.6304	0.4081	0.0535
ENSG00000198502	HLA-DRB5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.1842	0	0.0759	0.0944	0.0605	0.0241	NaN	NaN	NaN	NaN	0.0281	0
ENSG00000185127	C6orf120	0.5392	0.5006	0.4669	0.4886	0.447	0.4371	0.4165	0.5569	0.703	0.7491	0.7563	0.7525	0.6674	0.7051	0.5876	0.5364	0.5178	0.6022	0.1834	0.1934
ENSG00000130023	ERMARD	0.0315	0.0655	0.0671	0.0322	0.0635	0.0324	0.1544	0.0355	0.3805	0.4206	0.397	0.3916	0.3504	0.2917	0.1378	0.1071	0.1805	0.1342	0.0566	0.0456
ENSG00000112584	FAM120B	0.1111	0.1488	0.1999	0.2159	0.1336	0.1388	0.2444	0.1706	0.689	0.6162	0.5913	0.6304	0.6179	0.6335	0.3887	0.3526	0.3476	0.4547	0.1692	0.1798
ENSG00000112592	TBP	0.4637	0.3834	0.4505	0.4088	0.4483	0.3894	0.4572	0.5106	0.8927	0.8963	0.9058	0.9364	0.7875	0.7712	0.6507	0.523	0.5574	0.587	0.1883	0.1577
ENSG00000112685	EXOC2	0.0376	0.0315	0.0284	0.046	0.0412	0.0335	0.046	0.0475	0.2432	0.1729	0.1996	0.2073	0.1866	0.139	0.0914	0.0683	0.057	0.1021	0.0135	0.0257
ENSG00000204257	HLA-DMA	0	NaN	NaN	0	0	NaN	NaN	0.3962	0.139	0.1444	0.0219	0.0483	0.2234	0.0789	NaN	1	0	0	0.1637	0.0152
ENSG00000204252	HLA-DOA	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	0	0	1	0	NaN	NaN	NaN	NaN	NaN	NaN
